INFO  - 2014-11-12 17:17:43.211; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-11-12 17:17:43.243; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /SOLR/solr-4.10.2/example/contexts at interval 0
INFO  - 2014-11-12 17:17:43.253; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /SOLR/solr-4.10.2/example/contexts/solr-jetty-context.xml
INFO  - 2014-11-12 17:17:43.334; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/SOLR/solr-4.10.2/example/webapps/solr.war!/ to /SOLR/solr-4.10.2/example/solr-webapp/webapp
INFO  - 2014-11-12 17:17:45.298; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-11-12 17:17:45.385; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-11-12 17:17:45.405; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-11-12 17:17:45.406; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-11-12 17:17:45.408; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-11-12 17:17:45.580; org.apache.solr.core.ConfigSolr; Loading container configuration from /SOLR/solr-4.10.2/example/solr/solr.xml
INFO  - 2014-11-12 17:17:45.736; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /SOLR/solr-4.10.2/example/solr
INFO  - 2014-11-12 17:17:45.748; org.apache.solr.core.CoreContainer; New CoreContainer 790722099
INFO  - 2014-11-12 17:17:45.749; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-11-12 17:17:45.772; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-11-12 17:17:45.773; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-11-12 17:17:45.778; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-11-12 17:17:45.780; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-11-12 17:17:45.781; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
